,item_name,url,origin_price,colors,prices,version,images,category
0,Mac Studio Chip M3 Ultra (32CPU - 80GPU - 96GB - 1TB) - Chính Hãng Apple Việt Nam,https://hoanghamobile.com/laptop/mac-studio-chip-m3-ultra-32cpu-80gpu-96gb-1tb,"153,490,000 ₫",['Mặc định'],[],,['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2025/03/06/mac-studio-m3-ultra-m4-non-ai-mar25-pdp-image-position-1-vn-vi.png'],MACBOOK
1,Laptop MacBook Air M4 13.6 inch 16GB/512GB - Chính hãng Apple Việt Nam,https://hoanghamobile.com/laptop/macbook-air-m4-13-6-inch-16gb-512gb,"31,990,000 ₫","['Xanh Da Trời', 'Ánh Sao', 'Đêm Xanh Thẳm', 'Bạc']","['31,990,000 ₫', '31,990,000 ₫', '31,990,000 ₫', '31,990,000 ₫']",,"['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2025/03/06/macbook-air-13-inch-m4-non-ai-mar25-sky-blue-pdp-image-position-1-vn-vi.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2025/03/06/macbook-air-13-inch-m4-non-ai-mar25-starlight-pdp-image-position-1-vn-vi.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2025/03/06/macbook-air-13-inch-m4-non-ai-mar25-midnight-pdp-image-position-1-vn-vi.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2025/03/06/macbook-air-13-inch-m4-non-ai-mar25-silver-pdp-image-position-1-vn-vi.png']",MACBOOK
2,Laptop MacBook Air M4 13.6 inch 24GB/512GB - Chính hãng Apple Việt Nam,https://hoanghamobile.com/laptop/macbook-air-m4-13-6-inch-24gb-512gb,"36,990,000 ₫","['Xanh Da Trời', 'Ánh Sao', 'Đêm Xanh Thẳm', 'Bạc']","['36,990,000 ₫', '36,990,000 ₫', '36,990,000 ₫', '36,990,000 ₫']",,"['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2025/03/06/macbook-air-13-inch-m4-non-ai-mar25-sky-blue-pdp-image-position-1-vn-vi.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2025/03/06/macbook-air-13-inch-m4-non-ai-mar25-starlight-pdp-image-position-1-vn-vi.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2025/03/06/macbook-air-13-inch-m4-non-ai-mar25-midnight-pdp-image-position-1-vn-vi.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2025/03/06/macbook-air-13-inch-m4-non-ai-mar25-silver-pdp-image-position-1-vn-vi.png']",MACBOOK
3,Laptop MacBook Air M4 15.3 inch 16GB/256GB - Chính hãng Apple Việt Nam,https://hoanghamobile.com/laptop/macbook-air-m4-15-3-inch-16gb-256gb,"31,990,000 ₫","['Xanh Da Trời', 'Ánh Sao', 'Đêm Xanh Thẳm', 'Bạc']","['31,990,000 ₫', '31,990,000 ₫', '31,990,000 ₫', '31,990,000 ₫']",,"['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2025/03/06/macbook-air-15-inch-m4-non-ai-mar25-sky-blue-pdp-image-position-1-vn-vi.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2025/03/06/macbook-air-15-inch-m4-non-ai-mar25-starlight-pdp-image-position-1-vn-vi.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2025/03/06/macbook-air-15-inch-m4-non-ai-mar25-midnight-pdp-image-position-1-vn-vi.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2025/03/06/macbook-air-15-inch-m4-non-ai-mar25-silver-pdp-image-position-1-vn-vi.png']",MACBOOK
4,Laptop MacBook Air M4 13.6 inch 16GB/256GB - Chính hãng Apple Việt Nam,https://hoanghamobile.com/laptop/macbook-air-m4-13-6-inch-16gb-256gb,"26,990,000 ₫","['Xanh Da Trời', 'Ánh Sao', 'Đêm Xanh Thẳm', 'Bạc']","['26,990,000 ₫', '26,990,000 ₫', '26,990,000 ₫', '26,990,000 ₫']",,"['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2025/03/06/macbook-air-13-inch-m4-non-ai-mar25-sky-blue-pdp-image-position-1-vn-vi.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2025/03/06/macbook-air-13-inch-m4-non-ai-mar25-starlight-pdp-image-position-1-vn-vi.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2025/03/06/macbook-air-13-inch-m4-non-ai-mar25-midnight-pdp-image-position-1-vn-vi.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2025/03/06/macbook-air-13-inch-m4-non-ai-mar25-silver-pdp-image-position-1-vn-vi.png']",MACBOOK
5,Laptop MacBook Air M4 15.3 inch 16GB/512GB - Chính hãng Apple Việt Nam,https://hoanghamobile.com/laptop/macbook-air-m4-15-3-inch-16gb-512gb,"36,990,000 ₫","['Xanh Da Trời', 'Ánh Sao', 'Đêm Xanh Thẳm', 'Bạc']","['36,990,000 ₫', '36,990,000 ₫', '36,990,000 ₫', '36,990,000 ₫']",,"['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2025/03/06/macbook-air-15-inch-m4-non-ai-mar25-sky-blue-pdp-image-position-1-vn-vi.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2025/03/06/macbook-air-15-inch-m4-non-ai-mar25-starlight-pdp-image-position-1-vn-vi.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2025/03/06/macbook-air-15-inch-m4-non-ai-mar25-midnight-pdp-image-position-1-vn-vi.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2025/03/06/macbook-air-15-inch-m4-non-ai-mar25-silver-pdp-image-position-1-vn-vi.png']",MACBOOK
6,Laptop MacBook Air M4 15.3 inch 24GB/512GB - Chính hãng Apple Việt Nam,https://hoanghamobile.com/laptop/macbook-air-m4-15-3-inch-24gb-512gb,"41,990,000 ₫","['Xanh Da Trời', 'Ánh Sao', 'Đêm Xanh Thẳm', 'Bạc']","['41,990,000 ₫', '41,990,000 ₫', '41,990,000 ₫', '41,990,000 ₫']",,"['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2025/03/06/macbook-air-15-inch-m4-non-ai-mar25-sky-blue-pdp-image-position-1-vn-vi.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2025/03/06/macbook-air-15-inch-m4-non-ai-mar25-starlight-pdp-image-position-1-vn-vi.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2025/03/06/macbook-air-15-inch-m4-non-ai-mar25-midnight-pdp-image-position-1-vn-vi.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2025/03/06/macbook-air-15-inch-m4-non-ai-mar25-silver-pdp-image-position-1-vn-vi.png']",MACBOOK
7,Mac Studio Chip M4 Max (14CPU - 32GPU - 36GB - 512GB) - Chính Hãng Apple Việt Nam,https://hoanghamobile.com/laptop/mac-studio-chip-m4-max-14cpu-32gpu-36gb-512gb,"57,990,000 ₫",['Mặc định'],[],,['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2025/03/06/mac-studio-m3-ultra-m4-non-ai-mar25-pdp-image-position-1-vn-vi.png'],MACBOOK
8,Mac Studio Chip M4 Max (16CPU - 40GPU - 48GB - 512GB) - Chính Hãng Apple Việt Nam,https://hoanghamobile.com/laptop/mac-studio-chip-m4-max-16cpu-40gpu-48gb-512gb,"70,490,000 ₫",['Mặc định'],[],,['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2025/03/06/mac-studio-m3-ultra-m4-non-ai-mar25-pdp-image-position-1-vn-vi.png'],MACBOOK
9,Mac Studio Chip M3 Ultra (28CPU - 60GPU - 96GB - 1TB) - Chính Hãng Apple Việt Nam,https://hoanghamobile.com/laptop/mac-studio-chip-m3-ultra-28cpu-60gpu-96gb-1tb,"115,990,000 ₫",['Mặc định'],[],,['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2025/03/06/mac-studio-m3-ultra-m4-non-ai-mar25-pdp-image-position-1-vn-vi.png'],MACBOOK
