id,refresh_rate,technology,resolution,size,brightness,ram,storage,features,capacity,fast_charge,wireless_charge,chipset,material,weight,dimensions,sim,gps,bluetooth,jack,wifi,nfc,sensors,waterproof,name,version,speaker,productID,product_name
500,,,,,,96GB,,,,,False,Apple - M3 - Ultra,,"3,64 kg",9.5 x 19.7 x 19.7 cm,,,"Wi-Fi 6E (802.11ax)
Bluetooth 5.3
Ethernet 10Gb (Nbase-T Ethernet hỗ trợ Ethernet 1Gb, 2,5Gb, 5Gb và 10Gb bằng đầu nối RJ-45)",False,"Wi-Fi 6E (802.11ax)
Bluetooth 5.3
Ethernet 10Gb (Nbase-T Ethernet hỗ trợ Ethernet 1Gb, 2,5Gb, 5Gb và 10Gb bằng đầu nối RJ-45)",,,,macOS,macOS,"Loa tích hợp
Jack cắm tai nghe 3,5 mm có hỗ trợ nâng cao cho tai nghe trở kháng cao
Cổng HDMI hỗ trợ đầu ra âm thanh đa kênh",500,Mac Studio Chip M3 Ultra (32CPU - 80GPU - 96GB - 1TB) - Chính Hãng Apple Việt Nam
501,60Hz,"True Tone, Wide Color (P3), 500 nits độ sáng",2560 x 1664,13.6 inch,,16 GB,512GB SSD,  Force Touch trackpad,52.6Whr,30W USB-C Power Adapter,False,Apple - M4,Nhôm tái chế 100%,1.24 kg,304.1 x 21.5 x 11.3 mm,,,"Wi-Fi 6E, Bluetooth 5.3",False,"Wi-Fi 6E, Bluetooth 5.3",,Không,,macOS,macOS,"Hệ thống 4 loa hỗ trợ Spatial Audio, Dolby Atmos.",501,Laptop MacBook Air M4 13.6 inch 16GB/512GB - Chính hãng Apple Việt Nam
502,60Hz,"True Tone, Wide Color (P3), 500 nits độ sáng",2560 x 1664,13.6 inch,,24GB,512GB SSD,  Force Touch trackpad,52.6Whr,30W USB-C Power Adapter,False,Apple - M4,Nhôm tái chế 100%,1.24 kg,304.1 x 21.5 x 11.3 mm,,,"Wi-Fi 6E, Bluetooth 5.3",False,"Wi-Fi 6E, Bluetooth 5.3",,Không,,macOS,macOS,"Hệ thống 4 loa hỗ trợ Spatial Audio, Dolby Atmos.",502,Laptop MacBook Air M4 13.6 inch 24GB/512GB - Chính hãng Apple Việt Nam
503,60Hz,"True Tone, Wide Color (P3), 500 nits độ sáng",2880 x 1864,13.6 inch,,16 GB,256GB SSD,  Force Touch trackpad,66.5Whr,35W Dual USB-C Port Power Adapter,False,Apple - M4,Nhôm tái chế 100%,1.51 kg,340.4 x 237.6 x 11.5 mm,,,"Wi-Fi 6E, Bluetooth 5.3",False,"Wi-Fi 6E, Bluetooth 5.3",,Không,,macOS,macOS,"Hệ thống 6 loa hỗ trợ Spatial Audio, Dolby Atmos",503,Laptop MacBook Air M4 15.3 inch 16GB/256GB - Chính hãng Apple Việt Nam
504,60Hz,"True Tone, Wide Color (P3), 500 nits độ sáng",2560 x 1664,13.6 inch,,16 GB,256GB SSD,  Force Touch trackpad,52.6Whr,30W USB-C Power Adapter,False,Apple - M4,Nhôm tái chế 100%,1.24 kg,304.1 x 21.5 x 11.3 mm,,,"Wi-Fi 6E, Bluetooth 5.3",False,"Wi-Fi 6E, Bluetooth 5.3",,Không,,macOS,macOS,"Hệ thống 4 loa hỗ trợ Spatial Audio, Dolby Atmos.",504,Laptop MacBook Air M4 13.6 inch 16GB/256GB - Chính hãng Apple Việt Nam
505,60Hz,"True Tone, Wide Color (P3), 500 nits độ sáng",2880 x 1864,15.3 inch,,16 GB,512GB SSD,  Force Touch trackpad,66.5 Whr,35W Dual USB-C Port Power Adapter,False,Apple - M4,Nhôm tái chế 100%,1.51 kg,340.4 x 237.6 x 11.5 mm,,,"Wi-Fi 6E, Bluetooth 5.3",False,"Wi-Fi 6E, Bluetooth 5.3",,Không,,macOS,macOS,"Hệ thống 6 loa hỗ trợ Spatial Audio, Dolby Atmos.",505,Laptop MacBook Air M4 15.3 inch 16GB/512GB - Chính hãng Apple Việt Nam
506,60Hz,"True Tone, Wide Color (P3), 500 nits độ sáng",2880 x 1864,15.3 inch,,24GB,512GB SSD,  Force Touch trackpad,66.5 Whr,35W Dual USB-C Port Power Adapter,False,Apple - M4,Nhôm tái chế 100%,1.51 kg,340.4 x 237.6 x 11.5 mm,,,"Wi-Fi 6E, Bluetooth 5.3",False,"Wi-Fi 6E, Bluetooth 5.3",,Không,,macOS,macOS,"Hệ thống 4 loa hỗ trợ Spatial Audio, Dolby Atmos.",506,Laptop MacBook Air M4 15.3 inch 24GB/512GB - Chính hãng Apple Việt Nam
507,,,,,,36 GB,512GB SSD,,,,False,Apple - M4 - Max,,2.74 kg,9.5 x 19.7 x 19.7 cm,,,"Wi-Fi 6E (802.11ax)
Bluetooth 5.3
Ethernet 10Gb (Nbase-T Ethernet hỗ trợ Ethernet 1Gb, 2,5Gb, 5Gb và 10Gb bằng đầu nối RJ-45)",False,"Wi-Fi 6E (802.11ax)
Bluetooth 5.3
Ethernet 10Gb (Nbase-T Ethernet hỗ trợ Ethernet 1Gb, 2,5Gb, 5Gb và 10Gb bằng đầu nối RJ-45)",,,,macOS,macOS,"Loa tích hợp
Jack cắm tai nghe 3,5 mm có hỗ trợ nâng cao cho tai nghe trở kháng cao
Cổng HDMI hỗ trợ đầu ra âm thanh đa kênh",507,Mac Studio Chip M4 Max (14CPU - 32GPU - 36GB - 512GB) - Chính Hãng Apple Việt Nam
508,,,,,,48GB,512GB SSD,,,,False,Apple - M4 - Max,,2.74 kg,9.5 x 19.7 x 19.7 cm,,,"Wi-Fi 6E (802.11ax)
Bluetooth 5.3
Ethernet 10Gb (Nbase-T Ethernet hỗ trợ Ethernet 1Gb, 2,5Gb, 5Gb và 10Gb bằng đầu nối RJ-45)",False,"Wi-Fi 6E (802.11ax)
Bluetooth 5.3
Ethernet 10Gb (Nbase-T Ethernet hỗ trợ Ethernet 1Gb, 2,5Gb, 5Gb và 10Gb bằng đầu nối RJ-45)",,,,macOS,macOS,"Loa tích hợp
Jack cắm tai nghe 3,5 mm có hỗ trợ nâng cao cho tai nghe trở kháng cao
Cổng HDMI hỗ trợ đầu ra âm thanh đa kênh",508,Mac Studio Chip M4 Max (16CPU - 40GPU - 48GB - 512GB) - Chính Hãng Apple Việt Nam
509,,,,,,96GB,,,,,False,Apple - M3 - Ultra,,"3,64 kg",9.5 x 19.7 x 19.7 cm,,,"Wi-Fi 6E (802.11ax)
Bluetooth 5.3
Ethernet 10Gb (Nbase-T Ethernet hỗ trợ Ethernet 1Gb, 2,5Gb, 5Gb và 10Gb bằng đầu nối RJ-45)",False,"Wi-Fi 6E (802.11ax)
Bluetooth 5.3
Ethernet 10Gb (Nbase-T Ethernet hỗ trợ Ethernet 1Gb, 2,5Gb, 5Gb và 10Gb bằng đầu nối RJ-45)",,,,macOS,macOS,"Loa tích hợp
Jack cắm tai nghe 3,5 mm có hỗ trợ nâng cao cho tai nghe trở kháng cao
Cổng HDMI hỗ trợ đầu ra âm thanh đa kênh",509,Mac Studio Chip M3 Ultra (28CPU - 60GPU - 96GB - 1TB) - Chính Hãng Apple Việt Nam
