id,value,attributeId
1,,1
2,256GB,1
3,M4 (16GB/256GB),1
4,"13.6"" (24GB/512GB)",1
5,16GB/512GB,1
6,M4 Pro (24GB/512GB),1
7,M4 (24GB/512GB),1
8,"14"" M4 (16GB/512GB)",1
9,"14"" M4 (16GB/1TB)",1
10,"14"" M4 Pro (24GB/512GB)",1
11,"14"" M4 Max (36GB/1TB)",1
12,"16"" M4 Pro (24GB/512GB)",1
13,"16"" M4 Max (48GB/1TB)",1
14,"16"" M4 Pro (48GB/512GB)",1
15,"15.3"" (16GB/256GB)",1
16,Nano 16GB/256GB,1
17,16GB/256GB,1
18,M4 (16GB/512GB),1
19,"13.6"" (8GB/256GB)",1
20,8GB/512GB,1
21,"13.6"" (16GB/512GB)",1
22,"15.3"" (8GB/256GB)",1
23,"13.6"" (16GB/256GB)",1
24,Mặc định,2
25,Xanh Da Trời,2
26,Ánh Sao,2
27,Đêm Xanh Thẳm,2
28,Bạc,2
29,Space Gray,2
30,Vàng,2
31,Xám,2
32,Xanh Đen,2
33,Xanh Dương,2
34,Hồng,2
35,Xanh Lá,2
36,Đen,2
37,Pink,2
38,Green,2
39,Màu Đen,2
40,Xanh,2
41,Black,2
42,Be,2
43,Blue,2
44,Silver,2
45,Peacock Blue,2
46,Quiet Blue,2
47,Jade Black,2
48,Đen Tinh Tú,2
49,,2
50,Eclipse Gray,2
51,Xanh Ngọc Bích,2
52,Gold,2
53,Màu Vàng,2
