id,name,slug,description,isNew,isActive,isPopular,createdDate,updatedDate,categoryID
500,Mac Studio Chip M3 Ultra (32CPU - 80GPU - 96GB - 1TB) - Chính Hãng Apple Việt Nam,mac-studio-chip-m3-ultra-32cpu-80gpu-96gb-1tb,,True,True,True,2025-03-07 01:38:09.540422,2025-03-07 01:38:09.540759,101
501,Laptop MacBook Air M4 13.6 inch 16GB/512GB - Chính hãng Apple Việt Nam,macbook-air-m4-13-6-inch-16gb-512gb,,True,True,True,2025-03-07 01:38:09.540422,2025-03-07 01:38:09.540759,101
502,Laptop MacBook Air M4 13.6 inch 24GB/512GB - Chính hãng Apple Việt Nam,macbook-air-m4-13-6-inch-24gb-512gb,,True,True,True,2025-03-07 01:38:09.540422,2025-03-07 01:38:09.540759,101
503,Laptop MacBook Air M4 15.3 inch 16GB/256GB - Chính hãng Apple Việt Nam,macbook-air-m4-15-3-inch-16gb-256gb,,True,True,True,2025-03-07 01:38:09.540422,2025-03-07 01:38:09.540759,101
504,Laptop MacBook Air M4 13.6 inch 16GB/256GB - Chính hãng Apple Việt Nam,macbook-air-m4-13-6-inch-16gb-256gb,,True,True,True,2025-03-07 01:38:09.540422,2025-03-07 01:38:09.540759,101
505,Laptop MacBook Air M4 15.3 inch 16GB/512GB - Chính hãng Apple Việt Nam,macbook-air-m4-15-3-inch-16gb-512gb,,True,True,True,2025-03-07 01:38:09.540422,2025-03-07 01:38:09.540759,101
506,Laptop MacBook Air M4 15.3 inch 24GB/512GB - Chính hãng Apple Việt Nam,macbook-air-m4-15-3-inch-24gb-512gb,,True,True,True,2025-03-07 01:38:09.540422,2025-03-07 01:38:09.540759,101
507,Mac Studio Chip M4 Max (14CPU - 32GPU - 36GB - 512GB) - Chính Hãng Apple Việt Nam,mac-studio-chip-m4-max-14cpu-32gpu-36gb-512gb,,True,True,True,2025-03-07 01:38:09.540422,2025-03-07 01:38:09.540759,101
508,Mac Studio Chip M4 Max (16CPU - 40GPU - 48GB - 512GB) - Chính Hãng Apple Việt Nam,mac-studio-chip-m4-max-16cpu-40gpu-48gb-512gb,,True,True,True,2025-03-07 01:38:09.540422,2025-03-07 01:38:09.540759,101
509,Mac Studio Chip M3 Ultra (28CPU - 60GPU - 96GB - 1TB) - Chính Hãng Apple Việt Nam,mac-studio-chip-m3-ultra-28cpu-60gpu-96gb-1tb,,True,True,True,2025-03-07 01:38:09.540422,2025-03-07 01:38:09.540759,101
